transaction_id,date,amount,type,category,account,cost_center,budget,actual
TXN-2025025,2025-04-03,1829.63,revenue,Product Sales,Operating Account,Operations,2090.5,2210.76
TXN-2025026,2025-04-05,5131.47,revenue,Product Sales,AP Clearing,Engineering,4450.72,6105.22
TXN-2025027,2025-05-03,4002.89,cost,Logistics,Payroll Account,Engineering,4164.28,3830.63
TXN-2025028,2025-04-01,3767.29,cost,Payroll,AP Clearing,Finance,4316.12,3200.05
TXN-2025029,2025-01-04,1500.72,cost,Contractors,Operating Account,Customer Success,1544.41,1829.18
TXN-2025030,2025-01-09,2748.76,cost,Facilities,Payroll Account,Customer Success,2725.88,2363.12
TXN-2025031,2025-04-02,2705.37,revenue,Product Sales,AP Clearing,Operations,3087.98,3372.92
TXN-2025032,2025-04-08,5772.99,cost,Payroll,Revenue Clearing,Finance,5481.93,5550.65
TXN-2025033,2025-05-20,4184.13,cost,Payroll,Revenue Clearing,Operations,4877.44,5230.09
TXN-2025034,2025-01-05,5464.05,cost,Facilities,Operating Account,Operations,5670.61,4606.03
TXN-2025035,2025-05-10,5243.94,revenue,Service Revenue,Revenue Clearing,Operations,6071.26,5562.69
TXN-2025036,2025-06-11,4487.5,revenue,Product Sales,Payroll Account,Operations,4706.03,4179.8
TXN-2025037,2025-04-18,1271.19,revenue,Implementation,Revenue Clearing,Operations,1405.12,1481.13
TXN-2025038,2025-05-18,2819.76,revenue,Service Revenue,Operating Account,Finance,2559.53,3369.96
TXN-2025039,2025-06-02,5203.12,cost,Logistics,Operating Account,Finance,5299.84,5359.28
TXN-2025040,2025-01-23,4240.0,cost,Facilities,Payroll Account,Finance,4247.59,4641.29
TXN-2025041,2025-03-04,1100.26,cost,Software,Revenue Clearing,Operations,1159.68,1045.66
TXN-2025042,2025-04-25,5930.67,revenue,Service Revenue,AP Clearing,Finance,5284.66,5618.35
TXN-2025043,2025-04-23,3076.39,cost,Facilities,Revenue Clearing,Customer Success,3093.53,2784.5
TXN-2025044,2025-02-13,0.0,revenue,Subscription,Payroll Account,Finance,8068.79,6856.53
TXN-2025045,2025-03-27,6415.83,revenue,Implementation,Operating Account,Sales,6438.58,7563.5
TXN-2025046,2025-05-03,9083.01,revenue,Implementation,Operating Account,Operations,9578.2,8059.19
TXN-2025047,2025-06-10,7681.84,revenue,Implementation,Payroll Account,Operations,8025.28,8536.19
TXN-2025048,2025-05-21,1229.07,cost,Contractors,Operating Account,Customer Success,1408.74,1430.9
TXN-2025049,2025-03-24,3133.85,cost,Marketing,Payroll Account,Finance,3589.51,3041.18
TXN-2025050,2025-01-30,6104.54,revenue,Implementation,Operating Account,Engineering,6327.66,7255.57
TXN-2025051,2025-04-10,3199.63,revenue,Product Sales,Revenue Clearing,Finance,3070.63,3753.88
TXN-2025052,2025-01-06,1317.45,revenue,Service Revenue,Revenue Clearing,Operations,1470.06,1163.52
TXN-2025053,2025-01-15,7180.75,revenue,Product Sales,Revenue Clearing,Customer Success,7810.11,8699.06
TXN-2025054,2025-05-22,4819.21,cost,Payroll,AP Clearing,Finance,5428.28,4034.36
TXN-2025055,2025-04-19,5993.83,revenue,Service Revenue,Operating Account,Operations,7026.81,5013.13
TXN-2025056,2025-02-01,6962.1,revenue,Subscription,Revenue Clearing,Sales,7365.44,6045.22
TXN-2025057,2025-02-16,6650.63,revenue,Subscription,AP Clearing,Engineering,7780.93,6484.87
TXN-2025058,2025-04-11,2824.01,revenue,Implementation,Revenue Clearing,Operations,3308.67,3523.81
TXN-2025059,2025-02-16,3926.28,cost,Logistics,Operating Account,Finance,3914.6,4270.02
TXN-2025060,2025-05-21,203.92,cost,Facilities,AP Clearing,Customer Success,174.88,222.75
TXN-2025061,2025-02-07,3260.56,cost,Facilities,Operating Account,Customer Success,3512.14,2893.25
TXN-2025062,2025-06-29,5254.36,cost,Payroll,AP Clearing,Finance,5689.62,4735.72
TXN-2025063,2025-03-27,5767.96,cost,Facilities,Payroll Account,Operations,5504.91,5663.78
TXN-2025064,2025-06-20,6143.96,cost,Payroll,Payroll Account,Customer Success,5867.67,7039.43
TXN-2025065,2025-03-28,9082.88,revenue,Implementation,AP Clearing,Sales,10293.55,11309.72
TXN-2025066,2025-02-08,5787.95,revenue,Product Sales,AP Clearing,Sales,6652.56,6205.87
TXN-2025067,2025-01-23,745.64,cost,Software,AP Clearing,Engineering,661.77,890.77
TXN-2025068,2025-01-21,2359.59,cost,Contractors,Operating Account,Engineering,2655.31,2238.55
TXN-2025069,2025-03-13,5713.26,cost,Software,Payroll Account,Finance,6737.69,5733.29
TXN-2025070,2025-06-14,4275.24,cost,Marketing,Revenue Clearing,Engineering,4985.95,3590.87
TXN-2025071,2025-01-14,4600.64,cost,Facilities,Revenue Clearing,Engineering,4444.38,5456.68
TXN-2025072,2025-05-10,1022.43,revenue,Implementation,Operating Account,Operations,896.66,1186.19
TXN-2025073,2025-04-29,609.45,cost,Contractors,Revenue Clearing,Sales,686.95,659.28
TXN-2025074,2025-06-15,3726.18,revenue,Subscription,AP Clearing,Operations,3368.66,4545.43
TXN-2025075,2025-03-06,2724.06,revenue,Product Sales,Operating Account,Finance,3130.28,2951.6
TXN-2025076,2025-05-17,1410.43,cost,Marketing,Operating Account,Finance,1417.46,1346.23
TXN-2025077,2025-03-01,5123.34,cost,Marketing,Operating Account,Customer Success,5915.75,4554.72
TXN-2025078,2025-03-23,8759.92,revenue,Service Revenue,Payroll Account,Customer Success,10044.39,8951.88
TXN-2025079,2025-04-05,7428.35,revenue,Implementation,Operating Account,Engineering,7758.88,6609.12
TXN-2025080,2025-04-08,3151.92,cost,Software,Revenue Clearing,Engineering,3022.64,3367.62
TXN-2025081,2025-01-08,1878.74,revenue,Implementation,Payroll Account,Finance,1773.15,2049.1
TXN-2025082,2025-06-12,3935.01,revenue,Service Revenue,Revenue Clearing,Customer Success,4130.14,3734.8
TXN-2025083,2025-01-17,5612.49,revenue,Service Revenue,Operating Account,Operations,5151.72,5826.94
TXN-2025084,2025-06-21,8862.04,revenue,Subscription,Operating Account,Engineering,10434.16,9851.32
TXN-2025085,2025-01-13,6011.92,cost,Payroll,AP Clearing,Engineering,6237.95,4952.63
TXN-2025086,2025-05-31,199.46,cost,Software,Operating Account,Operations,181.34,234.94
TXN-2025087,2025-02-01,6670.95,revenue,Subscription,Operating Account,Sales,6515.99,8317.62
TXN-2025088,2025-06-02,791.85,cost,Marketing,Payroll Account,Sales,743.73,699.68
TXN-2025089,2025-01-07,3909.6,cost,Marketing,Revenue Clearing,Engineering,3531.04,4426.48
TXN-2025090,2025-04-05,2214.38,revenue,Service Revenue,Operating Account,Operations,1993.05,1920.91
TXN-2025091,2025-03-21,704.1,cost,Facilities,Operating Account,Operations,706.14,804.45
TXN-2025092,2025-04-19,2904.64,revenue,Product Sales,Operating Account,Finance,3258.75,2683.41
TXN-2025093,2025-05-31,4944.41,revenue,Subscription,Operating Account,Finance,4270.58,6128.49
TXN-2025094,2025-05-09,6055.11,revenue,Product Sales,Operating Account,Engineering,5508.34,5146.15
TXN-2025095,2025-01-23,4485.24,revenue,Product Sales,AP Clearing,Operations,4269.1,4665.69
TXN-2025096,2025-06-25,4557.98,revenue,Subscription,AP Clearing,Operations,5275.41,3945.62
TXN-2025097,2025-05-31,9411.6,revenue,Product Sales,Operating Account,Engineering,10282.39,10721.21
TXN-2025098,2025-05-10,1691.39,revenue,Product Sales,AP Clearing,Operations,1852.11,3241.1924999999997
TXN-2025099,2025-02-28,1694.47,cost,Marketing,Revenue Clearing,Finance,1574.59,1729.79
TXN-2025100,2025-01-26,5464.67,revenue,Product Sales,Revenue Clearing,Engineering,5163.76,5337.13
TXN-2025101,2025-06-19,350.44,cost,Software,Operating Account,Sales,395.55,297.77
TXN-2025102,2025-01-15,5713.29,cost,Logistics,Revenue Clearing,Sales,5803.33,5884.86
TXN-2025103,2025-06-21,5037.34,cost,Facilities,AP Clearing,Operations,5834.17,5894.94
TXN-2025104,2025-02-06,1905.37,revenue,Implementation,Operating Account,Sales,2050.72,2133.84
TXN-2025105,2025-01-29,446.85,cost,Software,Payroll Account,Finance,486.44,433.28
TXN-2025106,2025-03-12,4610.08,revenue,Implementation,AP Clearing,Operations,3924.04,3961.58
TXN-2025107,2025-06-13,5422.09,cost,Contractors,Revenue Clearing,Sales,4814.91,5333.46
TXN-2025108,2025-02-09,1532.61,revenue,Subscription,AP Clearing,Customer Success,1457.5,1645.67
TXN-2025109,2025-05-17,5001.81,revenue,Service Revenue,Revenue Clearing,Customer Success,4808.43,4905.23
TXN-2025110,2025-03-13,3183.65,cost,Software,Payroll Account,Engineering,3403.87,2864.45
TXN-2025111,2025-01-31,2830.9,cost,Contractors,AP Clearing,Customer Success,2851.27,3178.76
TXN-2025112,2025-03-16,7921.47,revenue,Product Sales,Revenue Clearing,Finance,7994.74,8985.95
TXN-2025113,2025-04-02,2305.53,cost,Marketing,Revenue Clearing,Finance,2517.66,2096.12
TXN-2025114,2025-06-17,3982.24,cost,Logistics,Payroll Account,Finance,3743.39,3369.67
TXN-2025115,2025-01-09,7798.37,revenue,Subscription,Operating Account,Operations,7218.72,7524.44
TXN-2025116,2025-05-05,3147.77,revenue,Service Revenue,Payroll Account,Finance,3181.69,3544.97
TXN-2025117,2025-04-23,3532.2,revenue,Service Revenue,Revenue Clearing,Engineering,4137.92,3174.91
TXN-2025118,2025-03-13,3684.03,revenue,Service Revenue,AP Clearing,Finance,4166.83,4431.94
TXN-2025119,2025-02-19,5230.35,revenue,Subscription,AP Clearing,Customer Success,4638.02,4899.76
TXN-2025120,2025-03-07,2491.54,cost,Marketing,Payroll Account,Engineering,2126.92,2441.36
TXN-2025121,2025-02-02,4476.59,cost,Facilities,Revenue Clearing,Engineering,4661.05,4773.24
TXN-2025122,2025-01-26,2830.06,revenue,Service Revenue,Payroll Account,Sales,2952.82,3019.95
TXN-2025123,2025-01-10,4037.94,cost,Facilities,Revenue Clearing,Finance,4111.88,3523.53
TXN-2025124,2025-03-21,213.57,cost,Logistics,AP Clearing,Operations,204.93,211.81
TXN-2025125,2025-03-27,3972.77,cost,Marketing,AP Clearing,Finance,4098.08,3776.59
TXN-2025126,2025-04-30,4153.39,cost,Payroll,AP Clearing,Customer Success,4351.41,3718.66
TXN-2025127,2025-04-10,9316.64,revenue,Product Sales,Operating Account,Engineering,10251.93,10636.03
TXN-2025128,2025-04-29,133.02,cost,Contractors,AP Clearing,Finance,117.06,130.18
TXN-2025129,2025-05-10,2234.91,cost,Contractors,AP Clearing,Sales,2425.59,1928.93
TXN-2025130,2025-04-06,2718.16,revenue,Service Revenue,Payroll Account,Engineering,2658.05,3219.92
TXN-2025131,2025-01-22,2365.86,cost,Contractors,Payroll Account,Operations,2523.53,2481.22
TXN-2025132,2025-03-26,2178.82,cost,Payroll,AP Clearing,Sales,2540.01,2124.71
TXN-2025133,2025-02-11,4161.92,cost,Software,AP Clearing,Operations,4095.1,3829.26
TXN-2025134,2025-04-06,294.86,cost,Payroll,Operating Account,Finance,344.1,328.3
TXN-2025135,2025-05-20,3412.78,cost,Software,Revenue Clearing,Customer Success,3097.38,3071.78
TXN-2025136,2025-02-13,1885.7,cost,Logistics,Operating Account,Operations,2048.73,2140.39
TXN-2025137,2025-03-12,5551.83,revenue,Service Revenue,Revenue Clearing,Finance,5848.92,6414.41
TXN-2025138,2025-03-23,3121.01,cost,Logistics,Operating Account,Sales,2821.92,2638.93
TXN-2025139,2025-06-06,5798.18,cost,Facilities,Operating Account,Operations,6321.58,5421.63
TXN-2025140,2025-05-14,4628.24,revenue,Service Revenue,Revenue Clearing,Operations,5201.98,5165.33
TXN-2025141,2025-02-21,6048.51,revenue,Subscription,Operating Account,Sales,5404.1,5929.17
TXN-2025142,2025-06-09,1090.87,cost,Payroll,Operating Account,Operations,1027.58,1326.11
TXN-2025143,2025-04-23,14751.07,cost,Logistics,AP Clearing,Customer Success,13932.14,14048.86
TXN-2025144,2025-06-03,2441.68,cost,Software,Revenue Clearing,Operations,2378.95,2848.8
TXN-2025145,2025-03-13,1958.88,revenue,Service Revenue,Operating Account,Operations,1862.61,1644.7
TXN-2025146,2025-04-23,2925.91,cost,Logistics,Payroll Account,Finance,2955.04,3184.56
TXN-2025147,2025-02-23,7170.07,revenue,Implementation,Revenue Clearing,Finance,7651.44,7131.37
TXN-2025148,2025-02-17,1394.47,cost,Facilities,Operating Account,Engineering,1486.11,1292.61
TXN-2025149,2025-03-12,4996.87,revenue,Product Sales,Revenue Clearing,Engineering,4868.8,5340.74
TXN-2025150,2025-04-22,1663.86,cost,Logistics,Revenue Clearing,Operations,1717.45,1794.72
TXN-2025151,2025-03-16,4901.1,cost,Payroll,AP Clearing,Operations,5484.38,4939.19
TXN-2025152,2025-01-26,5233.18,revenue,Service Revenue,AP Clearing,Finance,4705.7,4788.94
TXN-2025153,2025-03-13,7080.67,revenue,Service Revenue,Revenue Clearing,Finance,7983.16,6297.11
TXN-2025154,2025-06-15,221.67,cost,Payroll,Operating Account,Customer Success,202.99,185.42
TXN-2025155,2025-04-22,6284.65,revenue,Subscription,Revenue Clearing,Engineering,6574.89,7692.32
TXN-2025156,2025-04-06,9333.9,revenue,Product Sales,Payroll Account,Customer Success,8419.33,8886.0
TXN-2025157,2025-01-26,2517.64,revenue,Product Sales,Operating Account,Engineering,2311.0,2341.23
TXN-2025158,2025-05-06,3411.07,revenue,Product Sales,AP Clearing,Sales,3418.9,3342.05
TXN-2025159,2025-02-27,2122.06,cost,Payroll,Revenue Clearing,Operations,2291.96,2452.13
TXN-2025160,2025-03-31,4382.23,revenue,Implementation,Payroll Account,Finance,5071.37,4332.96
TXN-2025161,2025-01-19,4668.24,cost,Facilities,AP Clearing,Engineering,4869.02,4893.56
TXN-2025162,2025-02-15,1403.47,cost,Marketing,Revenue Clearing,Customer Success,1292.85,1725.85
TXN-2025163,2025-05-11,4284.76,cost,Payroll,Payroll Account,Finance,4251.34,3529.9
TXN-2025164,2025-06-11,4888.9,revenue,,Revenue Clearing,Operations,4366.86,4640.04
TXN-2025165,2025-06-14,6522.86,revenue,Product Sales,Payroll Account,Customer Success,5591.57,6587.43
TXN-2025166,2025-06-02,1915.08,revenue,Product Sales,Payroll Account,Engineering,2051.46,1806.65
TXN-2025167,2025-05-20,822.69,cost,Software,Operating Account,Engineering,717.78,1005.82
TXN-2025168,2025-06-30,6339.14,revenue,Implementation,Operating Account,Customer Success,6936.26,7638.09
TXN-2025169,2025-04-29,4132.92,revenue,Implementation,Revenue Clearing,Engineering,4106.7,3794.28
TXN-2025170,2025-05-03,2510.57,cost,Marketing,Operating Account,Finance,2364.95,2176.91
TXN-2025171,2025-03-09,1052.81,cost,Software,Revenue Clearing,Finance,1106.66,1026.91
TXN-2025172,2025-02-08,3749.85,cost,Software,Payroll Account,Customer Success,3947.03,4144.67
TXN-2025173,2025-04-23,742.2,cost,Payroll,Operating Account,Finance,730.08,770.13
TXN-2025174,2025-04-04,1571.85,revenue,Implementation,Operating Account,Sales,1350.13,1629.41
TXN-2025175,2025-05-22,1991.46,revenue,Product Sales,Payroll Account,Customer Success,2232.37,1989.97
TXN-2025176,2025-03-03,5700.58,revenue,Product Sales,AP Clearing,Engineering,6682.38,6005.83
TXN-2025177,2025-06-02,1673.8,revenue,Product Sales,Payroll Account,Finance,1458.09,1871.7
TXN-2025178,2025-03-16,986.08,revenue,Implementation,Payroll Account,Customer Success,986.68,946.53
TXN-2025179,2025-01-22,3761.64,revenue,Implementation,Payroll Account,Engineering,3655.13,3596.66
TXN-2025180,2025-04-06,5977.3,revenue,Subscription,AP Clearing,Finance,6260.88,5520.89
TXN-2025181,2025-03-07,4993.69,cost,Facilities,Operating Account,Sales,5147.08,4369.67
TXN-2025182,2025-03-07,2311.0,cost,Software,Revenue Clearing,Sales,2673.26,2291.72
TXN-2025183,2025-03-18,1241.42,cost,Payroll,Revenue Clearing,Finance,1271.79,1241.96
TXN-2025184,2025-04-11,2397.59,cost,Software,AP Clearing,Customer Success,2623.79,2636.37
TXN-2025185,2025-04-13,2494.38,cost,Software,AP Clearing,Sales,2541.9,2407.54
TXN-2025186,2025-01-21,7020.26,revenue,Product Sales,Payroll Account,Finance,8141.61,8272.36
TXN-2025187,2025-05-02,9359.78,revenue,Subscription,Revenue Clearing,Operations,10705.61,8415.36
TXN-2025188,2025-01-23,4962.18,revenue,Service Revenue,Revenue Clearing,Customer Success,5634.02,5188.38
TXN-2025189,2025-02-27,6019.51,cost,Logistics,Operating Account,Finance,5279.75,5469.08
TXN-2025190,2025-02-26,4632.99,revenue,Product Sales,Operating Account,Operations,4903.26,5365.63
TXN-2025191,2025-04-14,5963.89,revenue,Product Sales,Operating Account,Operations,5978.58,5966.22
TXN-2025192,2025-04-25,4038.46,revenue,Product Sales,Operating Account,Customer Success,4751.32,4851.31
TXN-2025193,2025-01-06,5042.32,cost,Facilities,Revenue Clearing,Customer Success,5200.8,5897.14
TXN-2025194,2025-04-29,2198.45,revenue,Implementation,Payroll Account,Customer Success,1933.97,2732.73
TXN-2025195,2025-04-22,3565.87,cost,Logistics,Operating Account,Sales,4122.82,3493.04
TXN-2025196,2025-03-27,6563.82,revenue,Subscription,AP Clearing,Finance,7609.54,7577.85
TXN-2025197,2025-04-29,2051.65,cost,Facilities,Revenue Clearing,Operations,2163.44,2396.03
TXN-2025198,2025-02-23,6606.85,revenue,Implementation,AP Clearing,Finance,6025.87,6364.53
TXN-2025199,2025-01-12,5066.57,cost,Software,Operating Account,Sales,5052.32,4301.13
TXN-2025200,2025-05-04,5922.34,cost,Facilities,AP Clearing,Operations,6694.75,6842.09
TXN-2025201,2025-03-28,4416.95,revenue,Implementation,Operating Account,Engineering,3837.88,5297.43
TXN-2025202,2025-01-10,1351.61,cost,Marketing,Operating Account,Finance,1154.24,1162.82
TXN-2025203,2025-05-06,5208.67,cost,Logistics,AP Clearing,Engineering,5425.01,4299.18
TXN-2025204,2025-04-15,3158.12,cost,Payroll,Operating Account,Finance,2792.44,2722.68
TXN-2025205,2025-04-21,271.3,cost,Facilities,Payroll Account,Sales,272.65,311.92
TXN-2025206,2025-06-05,3745.07,cost,Contractors,Revenue Clearing,Engineering,3186.77,3835.17
TXN-2025207,2025-05-28,1919.48,cost,Payroll,Revenue Clearing,Customer Success,2022.08,1847.85
TXN-2025208,2025-04-13,4977.75,cost,Facilities,Revenue Clearing,Customer Success,4938.17,5971.23
TXN-2025209,2025-05-03,6933.07,revenue,Product Sales,Payroll Account,Sales,8059.64,5726.62
TXN-2025210,2025-03-04,7762.78,revenue,Service Revenue,Revenue Clearing,Customer Success,7208.28,7637.98
TXN-2025211,2025-06-05,3687.19,cost,Facilities,Revenue Clearing,Finance,4082.22,4532.49
TXN-2025212,2025-05-13,1053.55,cost,Logistics,Payroll Account,Engineering,1189.02,1299.76
TXN-2025213,2025-01-05,438.69,cost,Marketing,Operating Account,Engineering,494.25,359.9
TXN-2025214,2025-03-26,1964.02,revenue,Implementation,Operating Account,Finance,1866.19,2202.3
TXN-2025215,2025-05-10,5108.34,cost,Marketing,Payroll Account,Operations,4707.5,6252.69
TXN-2025216,2025-01-01,1649.02,revenue,Subscription,Payroll Account,Operations,1818.74,1900.42
TXN-2025217,2025-02-17,6753.98,revenue,Implementation,Payroll Account,Engineering,7632.78,7184.58
TXN-2025218,2025-06-04,3857.09,cost,Software,Operating Account,Sales,3472.01,4314.97
TXN-2025219,2025-02-21,1982.52,cost,Payroll,AP Clearing,Customer Success,1869.52,2283.46
TXN-2025220,2025-02-10,3836.33,revenue,Product Sales,Operating Account,Sales,4374.78,3412.81
TXN-2025221,2025-01-24,627.44,cost,Marketing,AP Clearing,Finance,670.72,750.19
TXN-2025222,2025-01-30,2549.74,revenue,Subscription,Payroll Account,Finance,2661.79,2568.4
TXN-2025223,2025-05-17,8426.86,revenue,Service Revenue,Payroll Account,Sales,7349.17,8426.82
TXN-2025224,2025-02-24,3256.98,revenue,Implementation,AP Clearing,Engineering,3697.08,3564.93
TXN-2025225,2025-04-08,5831.52,cost,Payroll,Payroll Account,Finance,6047.6,6944.64
TXN-2025226,2025-03-08,5167.24,revenue,Service Revenue,AP Clearing,Operations,5702.52,4584.96
TXN-2025227,2025-01-02,5201.83,cost,Marketing,Operating Account,Finance,5010.28,5699.97
TXN-2025228,2025-06-18,5280.17,revenue,Implementation,AP Clearing,Engineering,4989.57,5342.38
TXN-2025229,2025-05-31,964.74,cost,Facilities,AP Clearing,Sales,1023.87,1153.03
TXN-2025230,2025-03-12,2395.26,cost,Marketing,AP Clearing,Finance,2204.84,2739.17
TXN-2025231,2025-02-20,4564.11,cost,Contractors,AP Clearing,Operations,5352.55,4176.85
TXN-2025232,2025-04-17,6308.99,revenue,Implementation,Operating Account,Engineering,6123.75,5464.82
TXN-2025233,2025-05-13,7412.8,revenue,Implementation,AP Clearing,Operations,8590.87,8185.93
TXN-2025234,2025-03-03,3204.06,cost,Facilities,AP Clearing,Finance,3071.85,3158.47
TXN-2025235,2025-01-10,3227.26,cost,Facilities,Payroll Account,Sales,3609.24,2724.49
TXN-2025236,2025-02-25,4642.2,revenue,Subscription,Operating Account,Sales,4769.29,4870.37
TXN-2025237,2025-02-14,681.81,cost,Contractors,Payroll Account,Sales,698.25,778.16
TXN-2025238,2025-02-06,2722.47,cost,Contractors,AP Clearing,Engineering,2384.91,2612.79
TXN-2025239,2025-04-06,3122.85,revenue,Service Revenue,AP Clearing,Engineering,3136.44,2774.68
TXN-2025240,2025-02-04,5055.44,cost,Contractors,Payroll Account,Engineering,4405.8,4805.6
TXN-2025241,2025-05-17,5627.76,revenue,Product Sales,Payroll Account,Sales,5496.49,6113.8
TXN-2025242,2025-01-03,7608.49,revenue,Implementation,Revenue Clearing,Customer Success,8272.03,7225.42
TXN-2025243,2025-06-30,7090.9,revenue,Service Revenue,Payroll Account,Finance,6846.24,8133.72
TXN-2025244,2025-01-22,3617.93,cost,Payroll,Payroll Account,Finance,3778.69,4044.05
TXN-2025245,2025-02-23,5057.19,revenue,Service Revenue,Revenue Clearing,Engineering,4359.69,5823.92
TXN-2025246,2025-05-01,1694.64,cost,Contractors,AP Clearing,Customer Success,1867.8,1853.38
TXN-2025247,2025-06-21,3373.64,cost,Logistics,Payroll Account,Finance,3678.95,3053.24
TXN-2025248,2025-03-29,3831.76,revenue,Subscription,Revenue Clearing,Finance,4179.5,4093.73
TXN-2025249,2025-03-15,9181.92,revenue,Service Revenue,AP Clearing,Engineering,8723.93,10530.22
TXN-2025250,2025-06-14,4770.44,cost,Logistics,Operating Account,Operations,5504.24,4616.6
TXN-2025251,2025-03-26,7738.39,revenue,Service Revenue,Payroll Account,Engineering,7249.15,7484.18
TXN-2025252,2025-01-04,955.04,cost,Logistics,Revenue Clearing,Finance,1012.84,923.7
TXN-2025253,2025-03-06,5139.73,revenue,Implementation,Operating Account,Engineering,4989.71,5357.89
TXN-2025254,2025-04-18,3535.53,cost,Logistics,Payroll Account,Customer Success,3389.72,3103.02
TXN-2025255,2025-06-26,0.0,revenue,Service Revenue,Revenue Clearing,Operations,7334.45,9550.44
TXN-2025256,2025-05-18,2251.32,cost,Marketing,Revenue Clearing,Finance,2407.88,2032.27
TXN-2025257,2025-05-13,394.42,cost,Software,AP Clearing,Operations,346.39,382.66
TXN-2025258,2025-05-12,5918.29,cost,Software,AP Clearing,Operations,6040.06,5231.19
TXN-2025259,2025-03-19,4891.01,revenue,Subscription,AP Clearing,Operations,5661.89,4721.36
TXN-2025260,2025-03-30,8551.81,revenue,Implementation,Operating Account,Finance,7834.27,9019.52
TXN-2025261,2025-02-27,2169.06,cost,Payroll,Payroll Account,Engineering,1980.02,2299.74
TXN-2025262,2025-06-25,7331.51,revenue,Product Sales,AP Clearing,Finance,6336.68,8954.54
TXN-2025263,2025-05-01,3420.03,revenue,Subscription,AP Clearing,Operations,3522.25,2841.51
TXN-2025264,2025-01-21,6692.55,revenue,Subscription,Operating Account,Sales,6627.46,8291.71
TXN-2025265,2025-05-16,386.54,cost,Contractors,Payroll Account,Engineering,395.75,398.11
TXN-2025266,2025-01-08,5395.36,revenue,Subscription,Revenue Clearing,Operations,5068.31,5494.43
TXN-2025267,2025-03-04,1941.19,revenue,Subscription,Operating Account,Finance,1914.78,2381.84
TXN-2025268,2025-04-18,6186.28,cost,Facilities,Operating Account,Finance,7205.33,7310.44
TXN-2025269,2025-06-28,2322.06,revenue,Implementation,Revenue Clearing,Customer Success,2569.56,2307.44
TXN-2025270,2025-04-18,2881.06,revenue,Product Sales,Operating Account,Customer Success,2886.03,3164.6
TXN-2025271,2025-05-17,7590.52,cost,Facilities,AP Clearing,Operations,7236.4,6628.86
TXN-2025272,2025-01-09,5013.91,revenue,Implementation,Revenue Clearing,Finance,5715.88,5615.2
TXN-2025273,2025-03-19,1372.84,cost,Contractors,Revenue Clearing,Sales,1436.62,1583.56
TXN-2025274,2025-03-30,5011.69,cost,Software,Operating Account,Sales,4455.61,4562.5
TXN-2025275,2025-03-27,3638.53,cost,Facilities,Payroll Account,Customer Success,3914.1,3058.06
TXN-2025276,2025-01-02,3601.3,cost,Marketing,AP Clearing,Operations,3567.21,3605.52
TXN-2025277,2025-05-24,2498.08,cost,Facilities,Operating Account,Finance,2429.56,3092.4
